doc_sample_id,source_file,display_title,company,sector,report_year,page_count,chunk_count,table_chunk_ratio,report_style_bucket
1,2025_thematic_report_91bab808.pdf,Thematic 91bab808's 2025 Report,Airbus,aerospace,2025,1,1,0.0,short_doc
2,2023_thematic_report_4c1eb352.pdf,Thematic 4c1eb352's 2023 Report,BNP Paribas,banking_financial_services,2023,1,1,0.0,short_doc
3,2024_thematic_report_24be3308.pdf,Thematic 24be3308's 2024 Report,Danone,food_beverage,2024,1,3,0.0,short_doc
4,2023_framework_disclosure_a1d018fd.pdf,Framework Disclosure A1d018fd's 2023 Report,ENGIE,utilities_energy,2023,3,5,0.0,short_doc
5,undated_framework_disclosure_f9072c40.pdf,Undated Framework Disclosure F9072c40's Report,Enel,utilities_power,,5,4,0.0,short_doc
6,18261.ar.en.2024.pdf,18261 AR's 2024 Report,Hermès,luxury_goods,2024,35,9,0.667,integrated_or_annual_report
7,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,148,133,0.632,table_heavy_doc
8,426.ar.en.2024.pdf,426 AR's 2024 Report,L'Oréal,consumer_beauty,2024,19,16,0.188,integrated_or_annual_report
9,2024_sustainability_report_c73e004c.pdf,C73e004c's 2024 Sustainability Report,Schneider,industrial_energy_management,2024,148,365,0.038,clean_esg_or_sustainability_report
10,2018_sustainability_report_43841182.pdf,43841182's 2018 Sustainability Report,Siemens,industrial_technology,2018,60,79,0.139,clean_esg_or_sustainability_report
11,2024_thematic_report_c221f368.pdf,Thematic C221f368's 2024 Report,TotalEnergies,oil_gas_energy,2024,17,17,0.0,other_report_style
12,2024_framework_disclosure_082a3c71.pdf,Framework Disclosure 082a3c71's 2024 Report,Volkswagen,automotive,2024,32,41,0.049,other_report_style
13,2024_annual_report_9ab2a528.pdf,9ab2a528's 2024 Annual Report,Volkswagen,automotive,2024,630,766,0.255,long_doc
14,2011_sustainability_report_73deaa4c.pdf,73deaa4c's 2011 Sustainability Report,Enel,utilities_power,2011,306,252,0.167,long_doc
15,2025_annual_report_1b21309a.pdf,1b21309a's 2025 Annual Report,Volkswagen,automotive,2025,520,670,0.152,long_doc
16,2025_climate_report_9706fb9c.pdf,9706fb9c's 2025 Climate Report,Airbus,aerospace,2025,181,80,0.85,long_doc
17,2025_urd_99c343a1.pdf,URD 99c343a1's 2025 Report,Danone,food_beverage,2025,489,573,0.058,long_doc
18,2025_integrated_report_c3cd8894.pdf,C3cd8894's 2025 Integrated Report,Danone,food_beverage,2025,57,65,0.077,integrated_or_annual_report
19,2021_integrated_report_1efcc316.pdf,1efcc316's 2021 Integrated Report,ENGIE,utilities_energy,2021,60,53,0.113,integrated_or_annual_report
20,2024_urd_c73e004c.pdf,URD C73e004c's 2024 Report,Schneider,industrial_energy_management,2024,148,365,0.038,integrated_or_annual_report
21,2023_integrated_report_c47ec973.pdf,C47ec973's 2023 Integrated Report,Danone,food_beverage,2023,33,29,0.069,integrated_or_annual_report
22,2019_framework_disclosure_c403a763.pdf,Framework Disclosure C403a763's 2019 Report,Enel,utilities_power,2019,20,14,0.643,table_heavy_doc
23,2023_sustainability_report_0915a868.pdf,0915a868's 2023 Sustainability Report,Enel,utilities_power,2023,42,50,0.56,table_heavy_doc
24,undated_framework_disclosure_c0d92cc2.pdf,Undated Framework Disclosure C0d92cc2's Report,TotalEnergies,oil_gas_energy,,38,28,0.821,table_heavy_doc
25,2025_thematic_report_b4b58ac2.pdf,Thematic B4b58ac2's 2025 Report,Volkswagen,automotive,2025,90,92,0.457,table_heavy_doc
26,Siemens_ESG.pdf,Siemens' ESG Report,Siemens,industrial_technology,,117,204,0.353,clean_esg_or_sustainability_report
27,423.esg.en.2024.pdf,423's 2024 ESG Report,Unknown,unknown,2024,162,140,0.114,clean_esg_or_sustainability_report
28,2025_sustainability_report_0478ad88.pdf,0478ad88's 2025 Sustainability Report,ENGIE,utilities_energy,2025,82,40,0.425,clean_esg_or_sustainability_report
29,2024_sustainability_report_44182ca9.pdf,44182ca9's 2024 Sustainability Report,BNP Paribas,banking_financial_services,2024,20,13,0.231,clean_esg_or_sustainability_report
30,2019_sustainability_report_9e6add42.pdf,9e6add42's 2019 Sustainability Report,Siemens,industrial_technology,2019,64,84,0.131,clean_esg_or_sustainability_report
