question_id,corpus_id,relevance_grade,relevance_label,citation_source_file,citation_display_title,citation_company,citation_sector,citation_report_year,citation_page_start,citation_page_end,citation_chunk_id,citation_section_title
ragas_esg_01_01,2025_thematic_report_91bab808.pdf::chunk-7436,3,direct_answer,2025_thematic_report_91bab808.pdf,Thematic 91bab808's 2025 Report,Airbus,aerospace,2025,1,1,chunk-7436,
ragas_esg_01_01,2025_climate_report_9706fb9c.pdf::chunk-7341,0,hard_negative,2025_climate_report_9706fb9c.pdf,9706fb9c's 2025 Climate Report,Airbus,aerospace,2025,1,2,chunk-7341,
ragas_esg_01_01,2025_climate_report_9706fb9c.pdf::chunk-7342,0,hard_negative,2025_climate_report_9706fb9c.pdf,9706fb9c's 2025 Climate Report,Airbus,aerospace,2025,2,4,chunk-7342,
ragas_esg_01_01,IB_Sustainability_Report.pdf::chunk-0058,0,hard_negative,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,9,12,chunk-0058,
ragas_esg_01_01,IB_Sustainability_Report.pdf::chunk-0059,0,hard_negative,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,12,13,chunk-0059,
ragas_esg_01_01,Siemens_ESG.pdf::chunk-0726,0,hard_negative,Siemens_ESG.pdf,Siemens' ESG Report,Siemens,industrial_technology,,1,2,chunk-0726,
ragas_esg_02_01,2023_thematic_report_4c1eb352.pdf::chunk-7894,3,direct_answer,2023_thematic_report_4c1eb352.pdf,Thematic 4c1eb352's 2023 Report,BNP Paribas,banking_financial_services,2023,1,1,chunk-7894,
ragas_esg_02_01,2024_sustainability_report_44182ca9.pdf::chunk-8182,0,hard_negative,2024_sustainability_report_44182ca9.pdf,44182ca9's 2024 Sustainability Report,BNP Paribas,banking_financial_services,2024,1,4,chunk-8182,2024 CSR achievements BNP PARIBAS SUPPORTING ITS CLIENTS’ TRANSITION
ragas_esg_02_01,2024_sustainability_report_44182ca9.pdf::chunk-8183,0,hard_negative,2024_sustainability_report_44182ca9.pdf,44182ca9's 2024 Sustainability Report,BNP Paribas,banking_financial_services,2024,4,5,chunk-8183,
ragas_esg_02_01,IB_Sustainability_Report.pdf::chunk-0053,0,hard_negative,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,2,5,chunk-0053,
