question_id,corpus_id,relevance_grade,negative_type,citation_source_file,citation_display_title,citation_company,citation_sector,citation_report_year,citation_page_start,citation_page_end,citation_chunk_id,citation_section_title
ragas_esg_01_01,2025_climate_report_9706fb9c.pdf::chunk-7341,0,hard_negative_same_topic_or_entity,2025_climate_report_9706fb9c.pdf,9706fb9c's 2025 Climate Report,Airbus,aerospace,2025,1,2,chunk-7341,
ragas_esg_01_01,2025_climate_report_9706fb9c.pdf::chunk-7342,0,hard_negative_same_topic_or_entity,2025_climate_report_9706fb9c.pdf,9706fb9c's 2025 Climate Report,Airbus,aerospace,2025,2,4,chunk-7342,
ragas_esg_01_01,IB_Sustainability_Report.pdf::chunk-0058,0,hard_negative_same_topic_or_entity,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,9,12,chunk-0058,
ragas_esg_01_01,IB_Sustainability_Report.pdf::chunk-0059,0,hard_negative_same_topic_or_entity,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,12,13,chunk-0059,
ragas_esg_01_01,Siemens_ESG.pdf::chunk-0726,0,hard_negative_same_topic_or_entity,Siemens_ESG.pdf,Siemens' ESG Report,Siemens,industrial_technology,,1,2,chunk-0726,
ragas_esg_02_01,2024_sustainability_report_44182ca9.pdf::chunk-8182,0,hard_negative_same_topic_or_entity,2024_sustainability_report_44182ca9.pdf,44182ca9's 2024 Sustainability Report,BNP Paribas,banking_financial_services,2024,1,4,chunk-8182,2024 CSR achievements BNP PARIBAS SUPPORTING ITS CLIENTS’ TRANSITION
ragas_esg_02_01,2024_sustainability_report_44182ca9.pdf::chunk-8183,0,hard_negative_same_topic_or_entity,2024_sustainability_report_44182ca9.pdf,44182ca9's 2024 Sustainability Report,BNP Paribas,banking_financial_services,2024,4,5,chunk-8183,
ragas_esg_02_01,IB_Sustainability_Report.pdf::chunk-0053,0,hard_negative_same_topic_or_entity,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,2,5,chunk-0053,
ragas_esg_02_01,IB_Sustainability_Report.pdf::chunk-0054,0,hard_negative_same_topic_or_entity,IB_Sustainability_Report.pdf,IB's Sustainability Report,Iberdrola,utilities_power,,5,6,chunk-0054,
ragas_esg_02_01,Siemens_ESG.pdf::chunk-0726,0,hard_negative_same_topic_or_entity,Siemens_ESG.pdf,Siemens' ESG Report,Siemens,industrial_technology,,1,2,chunk-0726,
ragas_esg_03_01,2023_integrated_report_c47ec973.pdf::chunk-11678,0,hard_negative_same_topic_or_entity,2023_integrated_report_c47ec973.pdf,C47ec973's 2023 Integrated Report,Danone,food_beverage,2023,1,3,chunk-11678,1 2 APRIL 2024 ANNUAL INTEGRATED REPORT Danone’s sustainability performance 2023
ragas_esg_03_01,2023_integrated_report_c47ec973.pdf::chunk-11679,0,hard_negative_same_topic_or_entity,2023_integrated_report_c47ec973.pdf,C47ec973's 2023 Integrated Report,Danone,food_beverage,2023,3,4,chunk-11679,
